date,NoGate,Gate15,Gate30,SmallCapGate30,HS300Gate
2022-12-28,2.5021821625986225,1.4124008416195697,2.5021821625986225,2.5045976581487754,1.9518678483894791
2022-12-29,2.4835953398418202,1.4019091817807523,2.4835953398418202,2.4851081210370825,1.9518678483894791
2022-12-30,2.5086208104563483,1.4160352499328714,2.5086208104563483,2.5105356925351403,1.9518678483894791
2023-01-03,2.557349316292204,1.4435409142614628,2.557349316292204,2.558682815188184,1.9518678483894791
2023-01-04,2.5786654302721215,1.4555731706556285,2.5786654302721215,2.5803183378817294,1.9502711606109233
2023-01-05,2.594119765710163,1.4642966427935211,2.594119765710163,2.595416018719257,1.9502711606109233
2023-01-06,2.5890434629990717,1.4614312342199045,2.5890434629990717,2.5906413308833027,1.9502711606109233
2023-01-09,2.604050286010447,1.4699021000777641,2.604050286010447,2.606860459910854,1.9502711606109233
2023-01-10,2.5987470514857804,1.4669085958405803,2.5987470514857804,2.6021182211978093,1.9502711606109233
2023-01-11,2.570945918261102,1.4512157559860535,2.570945918261102,2.5738247840416744,1.9502711606109233
2023-01-12,2.5827533655179944,1.4578806777860291,2.5827533655179944,2.5855829574360594,1.9502711606109233
2023-01-13,2.591929407840144,1.4630602566721167,2.591929407840144,2.594765589656678,1.9502711606109233
2023-01-16,2.6300912927279807,1.4846014054897523,2.6300912927279807,2.6332849962031237,1.9502711606109233
2023-01-17,2.6296440751367127,1.4843489656347586,2.6296440751367127,2.6331364453255044,1.9502711606109233
2023-01-18,2.652344896599674,1.497162844583701,2.652344896599674,2.656214249212821,1.9502711606109233
2023-01-19,2.6749782698090034,1.5099386511765942,2.6749782698090034,2.6785701494843424,1.9502711606109233
2023-01-20,2.690270778773081,1.5185707775078388,2.690270778773081,2.6935366406333423,1.9502711606109233
2023-01-30,2.737680052461683,1.5453317779894393,2.737680052461683,2.7416103356820143,1.9502711606109233
2023-01-31,2.7540499577425632,1.5545720596689858,2.7540499577425632,2.758519249543065,1.9502711606109233
2023-02-01,2.80499848337523,1.583330853316576,2.80499848337523,2.808698445167647,1.9502711606109233
2023-02-02,2.815695477408265,1.589368960214184,2.815695477408265,2.8190927855263737,1.9649536826705407
2023-02-03,2.819570227158073,1.591556131032319,2.819570227158073,2.8229114576646674,1.9649536826705407
2023-02-06,2.8273801646248895,1.5959645879448534,2.8273801646248895,2.8316453732888593,1.9649536826705407
2023-02-07,2.8550494474875743,1.61158300253769,2.8550494474875743,2.859513699197027,1.9649536826705407
2023-02-08,2.846481844715253,1.6067468680838655,2.846481844715253,2.8512283250736155,1.9649536826705407
2023-02-09,2.8788621295452663,1.6250244908043052,2.8788621295452663,2.8838954046474226,1.9649536826705407
2023-02-10,2.885383536820794,1.6287056141302478,2.885383536820794,2.8898238588473832,1.9649536826705407
2023-02-13,2.9142953779281457,1.645025412633801,2.9142953779281457,2.9187075909763274,1.9649536826705407
2023-02-14,2.9204377985896914,1.6484926102829678,2.9204377985896914,2.9242614993020006,1.9649536826705407
2023-02-15,2.9325732323486524,1.655342669847286,2.9325732323486524,2.9358427245343193,1.9649536826705407
2023-02-16,2.8563609687496823,1.6123233138395976,2.8563609687496823,2.859318226635477,1.9649536826705407
2023-02-17,2.852845404707255,1.6103388917273662,2.852845404707255,2.855873724954383,1.9649536826705407
2023-02-20,2.8766981138558605,1.6238029739912285,2.8766981138558605,2.878984397751439,1.9649536826705407
2023-02-21,2.888941758001881,1.6307141148165514,2.888941758001881,2.891518785588752,1.9649536826705407
2023-02-22,2.899877604387652,1.6368870461362457,2.899877604387652,2.9022310765243593,1.9649536826705407
2023-02-23,2.9041471851790113,1.6392970862976766,2.9041471851790113,2.9054867048399746,1.9649536826705407
2023-02-24,2.9003477939519957,1.6371524529264971,2.9003477939519957,2.9028626925008654,1.9649536826705407
2023-02-27,2.870143045007708,1.6201028497970773,2.870143045007708,2.872116816287324,1.9649536826705407
2023-02-28,2.8998801971195154,1.6368885096494625,2.8998801971195154,2.9029318644149718,1.9649536826705407
2023-03-01,2.930263833779637,1.6540390891043375,2.930263833779637,2.934478147133831,1.9649536826705407
