universe,config,date,asset,weight
CORE20Y,regime开(MA关),2003-11-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-26,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-27,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-01,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-02,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-03,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-04,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-05,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-08,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-09,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-10,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-11,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-12,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-15,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-16,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-17,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-19,上证国债指,1.0
CORE20Y,regime开(MA关),2003-12-22,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-23,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-24,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-25,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-26,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-29,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-30,上证综指,1.0
CORE20Y,regime开(MA关),2003-12-31,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-02,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-05,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-06,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-07,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-08,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-09,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-12,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-13,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-14,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-15,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-16,上证综指,1.0
CORE20Y,regime开(MA关),2004-01-29,沪深300,1.0
CORE20Y,regime开(MA关),2004-01-30,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-02,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-03,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-04,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-05,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-06,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-09,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-10,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-11,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-12,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-13,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-16,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-17,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-18,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-19,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-20,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-23,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-24,沪深300,1.0
